Cycle,NO.1,NO.2,NO.3,NO.4,NO.5,NO.6,NO.7,NO.8,NO.9,NO.10,NO.11,NO.12,NO.13,NO.14,NO.15,NO.16,NO.17,NO.18,NO.19,NO.20,NO.21,NO.22,NO.23,NO.24,NO.25,NO.26,NO.27,NO.28,NO.29,NO.30,NO.31,NO.32,NO.33,NO.34,NO.35,NO.36,NO.37,NO.38,NO.39,NO.40,NO.41,NO.42,NO.43,NO.44,NO.45,NO.46,NO.47,NO.48,NO.49,NO.50,NO.51,NO.52,NO.53,NO.54,NO.55,NO.56,NO.57,NO.58,NO.59,NO.60,NO.61,NO.62,NO.63,NO.64,NO.65,NO.66,NO.67,NO.68,NO.69,NO.70,NO.71,NO.72,NO.73,NO.74,NO.75,NO.76,NO.77,NO.78,NO.79
370,1.070479988,1.040450843,1.057947483,1.044731657,1.068911007,1.061138084,1.021461498,1.057062898,1.059909132,1.069002497,1.059936526,1.061516122,1.071114579,1.054434365,1.074626397,1.050234918,1.063808004,1.045843682,1.049248791,1.033936375,1.027496989,1.035187585,1.069875143,1.063731655,1.046671339,1.02914186,1.016200126,1.014881268,1.035908951,1.073497689,NA,0.889343406,NA,0.899969759,0.921449039,0.904909867,NA,NA,0.930723677,0.912686053,0.950004931,0.955837226,0.925817729,NA,0.881000667,NA,0.946961024,0.935170524,NA,0.902007223,0.963915956,0.967655272,0.93726405,NA,0.980192976,0.898473018,NA,NA,0.926221083,NA,NA,NA,NA,0.912114331,NA,1.001534124,0.898867656,0.912505039,1.04778424,1.047166279,1.04914534,1.050036319,1.048326643,1.052222432,1.056946219,1.046342055,1.042794653,1.034612328,1.06045446
371,1.07043833,1.04033822,1.057867446,1.044560615,1.068851325,1.061065111,1.021297385,1.056894671,1.059846957,1.068912628,1.059832068,1.061436635,1.071081589,1.054251726,1.074551993,1.050029977,1.063611061,1.045600071,1.048996498,1.033553046,1.027011686,1.034680135,1.069831391,1.063672324,1.0463439,1.02877517,1.015569529,1.014185998,1.035604585,1.07339692,NA,0.887713089,NA,0.898571354,0.919921718,0.903577403,NA,NA,0.929287,0.911159339,0.948654771,0.954785513,0.924222116,NA,0.879064451,NA,0.945607693,0.933398949,NA,0.900094068,0.962547186,0.966256871,0.93557876,NA,0.979031823,0.896236589,NA,NA,0.924819737,NA,NA,NA,NA,0.910338881,NA,1.001366445,0.896979748,0.911737724,1.047733711,1.047117624,1.04909477,1.049986051,1.048272394,1.052169923,1.056894513,1.046289346,1.042739946,1.034518197,1.060411793
372,1.070396619,1.04022452,1.05778682,1.044387574,1.068791229,1.06099155,1.021131307,1.056725069,1.05978464,1.068822181,1.059726775,1.06135672,1.071048607,1.05406683,1.074477106,1.049823081,1.063412405,1.04535399,1.048741672,1.033165894,1.026520882,1.034167457,1.069787627,1.063612956,1.046013744,1.028404727,1.014934562,1.013485195,1.035295864,1.073295488,NA,0.886067167,NA,0.89716284,0.918380217,0.902233327,NA,NA,0.927838721,0.909618393,0.94729126,0.953725155,0.922610975,NA,NA,NA,0.944242098,0.931608906,NA,0.898160971,0.961164076,0.964844589,0.933876267,NA,0.977859112,0.893977903,NA,NA,0.923406306,NA,NA,NA,NA,0.908545496,NA,1.00119778,0.8950734,0.910963455,1.047683426,1.047069164,1.049044209,1.049935859,1.048218263,1.052117526,1.056842831,1.046236827,1.04268538,1.034423309,1.060369091
373,1.070354856,1.040109733,1.057705599,1.044212513,1.068730712,1.060917393,1.020963235,1.056554084,1.05972218,1.06873115,1.059620641,1.061276373,1.071015632,1.053879652,1.074401727,1.049614214,1.063212024,1.04510542,1.048484294,1.03277489,1.026024531,1.033649511,1.069743852,1.063553551,1.04568086,1.028030502,1.014295211,1.012778833,1.034982735,1.073193387,NA,0.884405517,NA,0.89574417,0.916824439,0.900877564,NA,NA,0.926378774,0.908063111,0.945914301,0.952656103,0.920984199,NA,NA,NA,0.942864163,0.92980026,NA,0.89620778,0.959766518,0.963418333,0.932156452,NA,0.976674761,0.891696807,NA,NA,0.92198071,NA,NA,NA,NA,0.906734046,NA,1.001028113,0.893148481,0.910182167,1.047633385,1.0470209,1.048993657,1.049885743,1.048164249,1.052065242,1.056791171,1.046184498,1.042630957,1.034327653,1.060326355
374,1.07031304,1.039993847,1.057623775,1.04403541,1.068669765,1.060842633,1.020793141,1.056381705,1.059659575,1.068639528,1.05951366,1.06119559,1.070982663,1.053690165,1.074325851,1.04940336,1.063009904,1.044854341,1.048224342,1.032380006,1.025522583,1.033126257,1.069700065,1.063494105,1.045345234,1.027652466,1.013651464,1.012066885,1.034665142,1.073090609,NA,0.882728014,NA,0.894315296,0.915254286,0.899510035,NA,NA,0.924907091,0.906493388,0.944523796,0.95157831,0.919341681,NA,NA,NA,0.941473811,0.927972878,NA,0.894234343,0.958354404,0.961978009,0.930419195,NA,0.975478686,0.88939315,NA,NA,0.920542869,NA,NA,NA,NA,0.904904398,NA,1.000857427,0.891204862,0.909393794,1.047583588,1.04697283,1.048943116,1.049835703,1.048110353,1.05201307,1.056739532,1.046132359,1.042576675,1.034231217,1.060283585
375,1.070271173,1.039876852,1.057541344,1.043856245,1.068608379,1.06076726,1.020620995,1.056207922,1.059596822,1.068547308,1.059405824,1.061114364,1.070949701,1.053498344,1.074249469,1.049190501,1.06280603,1.044600732,1.047961797,1.031981211,1.025014989,1.032597656,1.069656267,1.063434618,1.045006853,1.027270592,1.013003306,1.011349326,1.034343029,1.072987149,NA,0.881034534,NA,0.892876171,0.913669659,0.898130665,NA,NA,0.923423606,0.904909119,0.943119646,0.950491728,0.917683313,NA,NA,NA,0.940070962,0.926126625,NA,0.892240508,0.956927624,0.960523522,0.928664375,NA,0.974270804,0.88706678,NA,NA,0.919092704,NA,NA,NA,NA,0.903056419,NA,1.000685705,0.889242413,0.908598272,1.047534032,1.046924954,1.048892584,1.049785739,1.048056572,1.051961008,1.056687912,1.046080411,1.042522535,1.03413399,1.060240782
376,1.070229254,1.039758737,1.057458298,1.043674997,1.068546547,1.060691269,1.020446768,1.056032726,1.059533918,1.068454484,1.059297127,1.061032692,1.070916744,1.053304161,1.074172575,1.048975621,1.06260039,1.044344573,1.04769664,1.031578475,1.024501701,1.032063669,1.069612459,1.063375088,1.044665706,1.026884852,1.012350725,1.01062613,1.03401634,1.072882999,NA,0.879324954,NA,0.891426748,0.91207046,0.896739374,NA,NA,0.92192825,0.9033102,0.941701753,0.949396307,0.916008986,NA,NA,NA,0.938655539,0.924261365,NA,0.890226123,0.95548607,0.959054777,0.926891871,NA,0.973051032,0.884717544,NA,NA,0.917630134,NA,NA,NA,NA,0.901189978,NA,1.00051293,0.887261004,0.907795535,1.047484718,1.046877272,1.048842064,1.049735852,1.048002908,1.051909058,1.056636308,1.046028652,1.042468538,1.034035961,1.060197945
377,1.070187283,1.039639491,1.057374631,1.043491644,1.068484259,1.06061465,1.020270432,1.055856106,1.059470863,1.068361049,1.059187562,1.060950568,1.070883792,1.053107592,1.07409516,1.048758703,1.062392968,1.044085844,1.047428849,1.031171771,1.02398267,1.031524255,1.069568639,1.063315514,1.044321778,1.026495215,1.011693706,1.00989727,1.033685019,1.072778153,NA,NA,NA,0.88996698,0.910456589,0.895336087,NA,NA,0.920420956,0.901696525,0.940270017,0.948291999,0.914318591,NA,NA,NA,0.937227464,0.922376964,NA,0.888191034,0.954029633,0.957571679,0.925101561,NA,0.971819285,0.882345289,NA,NA,0.916155078,NA,NA,NA,NA,0.899304939,NA,1.000339086,0.885260502,0.906985517,1.047435645,1.046829784,1.048791556,1.049686042,1.04794936,1.051857218,1.056584719,1.045977083,1.042414681,1.033937118,1.060155076
378,1.070145262,1.039519103,1.057290337,1.043306165,1.068421507,1.060537396,1.020091957,1.055678054,1.059407653,1.068266995,1.059077123,1.060867989,1.070850844,1.052908608,1.074017217,1.048539729,1.062183751,1.043824526,1.047158404,1.030761067,1.023457846,1.030979375,1.069524809,1.063255893,1.043975059,1.026101655,1.011032236,1.00916272,1.03334901,1.072672603,NA,NA,NA,0.888496819,0.908827946,0.893920725,NA,NA,0.918901654,0.900067987,0.93882434,0.947178755,0.912612021,NA,NA,NA,0.935786657,0.920473284,NA,0.886135087,0.952558202,0.956074132,0.923293325,NA,0.970575479,0.87994986,NA,NA,0.914667456,NA,NA,NA,NA,0.89740117,NA,1.000164154,0.883240777,0.906168154,1.047386813,1.046782487,1.04874106,1.049636309,1.047895927,1.051805488,1.056533143,1.045925704,1.042360967,1.033837449,1.060112176
379,1.07010319,1.039397563,1.05720541,1.043118539,1.068358283,1.0604595,1.019911314,1.055498558,1.059344286,1.068172316,1.058965802,1.060784948,1.0708179,1.052707185,1.07393874,1.048318684,1.061972725,1.043560596,1.046885286,1.030346333,1.02292718,1.030428989,1.069480968,1.063196224,1.043625533,1.025704142,1.010366302,1.008422454,1.033008256,1.072566343,NA,NA,NA,0.887016218,0.907184433,0.89249321,NA,NA,0.917370278,0.898424481,0.93736462,0.946056527,0.910889166,NA,NA,NA,0.93433304,0.918550188,NA,0.884058128,0.951071668,0.954562041,0.921467039,NA,0.96931953,NA,NA,NA,0.913167185,NA,NA,NA,NA,0.895478536,NA,0.999988118,0.881201696,0.905343377,1.04733822,1.046735383,1.048690577,1.049586653,1.04784261,1.051753868,1.056481578,1.045874515,1.042307393,1.033736943,1.060069244
380,1.070061069,1.039274859,1.057119842,1.042928744,1.068294577,1.060380952,1.019728473,1.055317609,1.059280761,1.068077005,1.058853593,1.060701442,1.07078496,1.052503295,1.073859719,1.048095549,1.061759876,1.043294036,1.046609473,1.029927541,1.022390621,1.029873056,1.069437117,1.063136506,1.04327319,1.025302648,1.009695891,1.007676447,1.0326627,1.072459367,NA,NA,NA,0.885525129,0.905525949,0.891053464,NA,NA,0.915826759,0.896765899,0.935890759,0.944925266,0.909149915,NA,NA,NA,0.932866533,0.916607541,NA,0.881960001,0.949569918,0.95303531,0.919622581,NA,0.968051352,NA,NA,NA,0.911654185,NA,NA,NA,NA,0.893536901,NA,0.99981096,0.879143128,0.904511122,1.047289866,1.046688469,1.048640107,1.049537075,1.047789407,1.051702356,1.056430022,1.045823515,1.042253962,1.033635587,1.060026282
381,1.070018897,1.03915098,1.057033628,1.042736758,1.06823038,1.060301746,1.019543404,1.055135197,1.059217074,1.067981055,1.058740489,1.060617465,1.070752021,1.05229691,1.073780148,1.047870307,1.061545189,1.043024824,1.046330945,1.02950466,1.021848121,1.029311537,1.069393256,1.063076736,1.042918015,1.024897143,1.009020989,1.00692467,1.032312284,1.072351666,NA,NA,NA,0.884023504,0.903852392,0.889601407,NA,NA,0.914271027,0.895092135,0.934402655,0.943784922,0.90739416,NA,NA,NA,0.931387058,0.914645203,NA,0.879840551,0.948052843,0.951493841,0.917759828,NA,0.966770861,NA,NA,NA,0.910128373,NA,NA,NA,NA,0.891576131,NA,0.999632663,NA,0.903671321,1.04724175,1.046641746,1.048589652,1.049487574,1.047736319,1.051650953,1.056378472,1.045772704,1.042200671,1.033533371,1.05998329
382,1.069976676,1.039025915,1.056946761,1.042542561,1.068165685,1.060221872,1.019356077,1.054951311,1.059153223,1.067884459,1.058626484,1.060533012,1.070719085,1.052088006,1.073700019,1.047642943,1.061328651,1.04275294,1.046049682,1.02907766,1.021299629,1.028744391,1.069349385,1.063016912,1.042559997,1.024487598,1.008341582,1.0061671,1.03195695,1.072243234,NA,NA,NA,0.882511297,0.902163664,0.888136963,NA,NA,0.912703015,0.893403081,0.932900207,0.942635447,0.905621789,NA,NA,NA,0.929894534,0.912663037,NA,NA,0.946520331,0.949937539,0.915878657,NA,0.96547797,NA,NA,NA,0.908589668,NA,NA,NA,NA,0.889596089,NA,0.999453209,NA,0.902823907,1.047193871,1.046595213,1.048539211,1.049438151,1.047683344,1.051599658,1.056326927,1.045722082,1.042147521,1.033430282,1.059940267
383,1.069934405,1.038899653,1.056859235,1.042346129,1.068100481,1.060141324,1.019166462,1.054765942,1.059089206,1.067787209,1.05851157,1.060448078,1.07068615,1.051876553,1.073619325,1.047413437,1.061110248,1.042478364,1.045765662,1.02864651,1.020745094,1.028171576,1.069305504,1.062957034,1.042199122,1.024073985,1.007657658,1.005403708,1.031596641,1.072134064,NA,NA,NA,0.880988459,0.900459661,0.88666005,NA,NA,0.911122652,0.89169863,0.931383315,0.94147679,0.903832691,NA,NA,NA,0.928388882,0.910660904,NA,NA,0.944972269,0.948366306,0.913978944,NA,0.964172595,NA,NA,NA,0.907037988,NA,NA,NA,NA,0.88759664,NA,0.999272581,NA,0.901968812,1.047146228,1.046548868,1.048488785,1.049388806,1.047630482,1.051548471,1.056275385,1.045671649,1.042094512,1.033326308,1.059897216
384,1.069892086,1.038772182,1.056771042,1.042147442,1.068034761,1.060060092,1.01897453,1.05457908,1.059025021,1.067689299,1.058395741,1.060362659,1.070653216,1.051662525,1.073538056,1.047181773,1.060889964,1.042201074,1.045478866,1.028211181,1.020184466,1.027593053,1.069261614,1.062897099,1.041835378,1.023656273,1.006969203,1.004634468,1.031231298,1.07202415,NA,NA,NA,0.879454942,0.898740283,0.885170591,NA,NA,0.909529871,0.889978672,0.929851876,0.940308904,0.902026757,NA,NA,NA,0.926870021,0.908638665,NA,NA,0.943408546,0.946780046,0.912060564,NA,0.962854649,NA,NA,NA,0.905473249,NA,NA,NA,NA,0.885577646,NA,0.999090759,NA,0.90110597,1.04709882,1.046502712,1.048438375,1.049339539,1.047577734,1.05149739,1.056223843,1.045621404,1.042041643,1.033221437,1.059854137
385,1.069849718,1.038643492,1.056682176,1.041946477,1.067968514,1.059978169,1.018780248,1.054390715,1.058960666,1.067590722,1.058278989,1.06027675,1.070620282,1.051445894,1.073456207,1.046947933,1.060667786,1.041921049,1.045189272,1.027771641,1.019617694,1.027008781,1.069217714,1.062837105,1.041468751,1.023234435,1.006276205,1.003859356,1.030860862,1.071913483,NA,NA,NA,NA,0.897005427,0.883668505,NA,NA,0.907924601,0.888243099,0.928305789,0.939131737,0.900203873,NA,NA,NA,0.925337871,0.906596181,NA,NA,0.941829048,0.945178659,0.910123392,NA,0.961524046,NA,NA,NA,0.903895369,NA,NA,NA,NA,0.883538969,NA,0.998907728,NA,0.900235313,1.047051647,1.046456743,1.048387981,1.04929035,1.047525097,1.051446416,1.0561723,1.045571347,1.041988915,1.033115657,1.059811029
386,1.069807302,1.038513571,1.056592632,1.041743212,1.067901733,1.059895546,1.018583588,1.054200836,1.058896137,1.06749147,1.058161309,1.060190344,1.070587347,1.051226633,1.073373768,1.0467119,1.060443699,1.041638269,1.044896859,1.027327861,1.019044727,1.026418718,1.069173805,1.06277705,1.04109923,1.02280844,1.005578649,1.003078343,1.030485275,1.071802057,NA,NA,NA,NA,0.895254992,0.882153712,NA,NA,0.906306772,0.886491802,0.926744951,0.937945241,0.898363929,NA,NA,NA,0.923792352,0.90453331,NA,NA,0.940233663,0.943562049,0.908167305,NA,0.960180699,NA,NA,NA,0.902304265,NA,NA,NA,NA,0.881480473,NA,0.998723467,NA,0.899356771,1.047004707,1.046410961,1.048337605,1.049241239,1.047472573,1.051395548,1.056120753,1.045521478,1.041936326,1.033008956,1.059767893
387,1.069764839,1.038382408,1.056502401,1.041537625,1.067834407,1.059812215,1.018384518,1.054009433,1.058831433,1.067391536,1.058042692,1.060103438,1.070554412,1.051004715,1.073290732,1.046473657,1.060217689,1.041352713,1.044601607,1.02687981,1.018465514,1.025822824,1.069129886,1.062716933,1.040726801,1.022378259,1.004876522,1.002291403,1.030104477,1.071689865,NA,NA,NA,NA,0.893488875,0.880626134,NA,NA,0.904676316,0.884724672,0.92516926,0.936749366,0.896506811,NA,NA,NA,0.922233383,0.902449914,NA,NA,0.938622276,0.941930117,0.906192176,NA,0.958824521,NA,NA,NA,0.900699854,NA,NA,NA,NA,0.879402019,NA,0.99853796,NA,0.898470278,1.046957999,1.046365364,1.048287245,1.049192207,1.04742016,1.051344784,1.0560692,1.045471796,1.041883878,1.032901321,1.059724731
388,1.069722327,1.038249991,1.056411477,1.041329693,1.067766527,1.059728167,1.018183007,1.053816497,1.058766551,1.067290913,1.057923132,1.060016026,1.070521474,1.050780111,1.07320709,1.046233185,1.059989741,1.04106436,1.044303495,1.026427456,1.017880004,1.025221056,1.069085959,1.062656752,1.040351452,1.021943863,1.004169813,1.00149851,1.029718409,1.071576899,NA,NA,NA,NA,0.891706973,0.879085689,NA,NA,0.903033162,0.882941598,0.923578612,0.935544063,0.894632408,NA,NA,NA,0.920660882,0.90034585,NA,NA,0.936994774,0.940282765,0.904197879,NA,0.957455425,NA,NA,NA,0.899082051,NA,NA,NA,NA,NA,NA,0.998351188,NA,0.897575763,1.046911523,1.046319952,1.048236904,1.049143254,1.047367857,1.051294126,1.056017639,1.045422301,1.041831569,1.03279274,1.059681543
389,1.069679769,1.038116309,1.056319854,1.041119395,1.067698085,1.059643395,1.017979024,1.053622016,1.058701488,1.067189593,1.057802622,1.059928104,1.070488535,1.050552793,1.073122836,1.045990467,1.059759841,1.040773188,1.044002501,1.02597077,1.017288144,1.024613374,1.069042023,1.062596504,1.039973169,1.021505221,1.003458506,1.000699638,1.029327011,1.071463153,NA,NA,NA,NA,0.889909182,NA,NA,NA,0.90137724,0.881142471,0.921972905,0.93432928,0.892740607,NA,NA,NA,0.919074768,0.898220977,NA,NA,0.935351043,0.938619893,0.902184288,NA,0.956073324,NA,NA,NA,0.897450773,NA,NA,NA,NA,NA,NA,0.998163132,NA,0.896673159,1.046865277,1.046274723,1.048186581,1.049094379,1.047315664,1.051243571,1.055966067,1.045372993,1.041779399,1.0326832,1.059638328
390,1.069637163,1.03798135,1.056227525,1.040906707,1.06762907,1.05955789,1.017772538,1.053425981,1.058636243,1.067087569,1.057681156,1.059839665,1.070455593,1.050322734,1.073037961,1.045745486,1.059527974,1.040479177,1.043698604,1.025509719,1.016689883,1.023999737,1.068998077,1.062536189,1.039591939,1.021062304,1.00274259,0.99989476,1.028930223,1.071348619,NA,NA,NA,NA,0.888095399,NA,NA,NA,0.899708479,0.879327179,0.920352034,0.933104969,0.890831294,NA,NA,NA,0.91747496,0.896075153,NA,NA,0.933690967,0.936941402,0.900151276,NA,0.954678129,NA,NA,NA,0.895805936,NA,NA,NA,NA,NA,NA,0.997973773,NA,0.895762396,1.046819259,1.046229678,1.048136277,1.049045582,1.047263582,1.051193119,1.055914483,1.045323871,1.041727367,1.032572689,1.059595088
391,1.069594512,1.037845103,1.056134483,1.040691607,1.067559474,1.059471643,1.017563518,1.053228382,1.058570813,1.066984834,1.057558725,1.059750705,1.070422647,1.050089905,1.072952457,1.045498223,1.059294125,1.040182304,1.043391784,1.025044274,1.01608517,1.023380101,1.068954124,1.062475803,1.039207751,1.020615082,1.002022051,0.999083849,1.028527983,1.07123329,NA,NA,NA,NA,0.88626552,NA,NA,NA,0.89802681,NA,0.918715896,0.931871078,0.888904355,NA,NA,NA,0.915861376,0.893908235,NA,NA,0.932014431,0.935247193,0.898098717,NA,0.953269752,NA,NA,NA,0.894147455,NA,NA,NA,NA,NA,NA,0.997783094,NA,0.894843404,1.04677347,1.046184814,1.048085993,1.048996865,1.047211607,1.05114277,1.055862883,1.045274934,1.041675474,1.032461194,1.059551823
392,1.069551813,1.037707556,1.056040722,1.040474072,1.067489287,1.059384646,1.017351932,1.053029207,1.058505194,1.066881381,1.057435324,1.059661219,1.070389697,1.049854279,1.072866315,1.04524866,1.05905828,1.039882549,1.043082018,1.024574402,1.015473951,1.022754426,1.068910162,1.062415345,1.038820591,1.020163524,1.001296876,0.998266879,1.028120232,1.071117158,NA,NA,NA,NA,0.88441944,NA,NA,NA,0.89633216,NA,0.917064385,0.930627558,0.886959676,NA,NA,NA,0.914233934,0.891720081,NA,NA,0.93032132,0.933537166,0.896026482,NA,0.951848105,NA,NA,NA,0.892475246,NA,NA,NA,NA,NA,NA,0.997591075,NA,0.893916113,1.046727908,1.046140132,1.048035729,1.048948226,1.047159742,1.051092523,1.055811266,1.045226183,1.041623719,1.032348703,1.059508533
393,1.069509069,1.037568697,1.055946233,1.04025408,1.067418499,1.05929689,1.017137748,1.052828448,1.058439385,1.066777201,1.057310944,1.059571201,1.070356743,1.049615825,1.072779528,1.04499678,1.058820424,1.039579891,1.042769286,1.024100073,1.014856174,1.022122669,1.068866191,1.062354813,1.038430446,1.019707602,1.000567052,0.997443823,1.027706908,1.071000216,NA,NA,NA,NA,0.882557055,NA,NA,NA,0.894624461,NA,0.915397397,0.929374359,0.884997143,NA,NA,NA,0.912592551,0.889510547,NA,NA,0.928611518,0.931811221,0.893934444,NA,0.9504131,NA,NA,NA,0.890789223,NA,NA,NA,NA,NA,NA,0.997397697,NA,0.892980455,1.046682571,1.046095628,1.047985486,1.048899667,1.047107984,1.051042377,1.055759629,1.045177616,1.041572102,1.032235203,1.05946522
394,1.06946628,1.037428516,1.055851012,1.040031608,1.0673471,1.059208367,1.016920934,1.052626094,1.058373384,1.066672287,1.05718558,1.059480647,1.070323783,1.049374516,1.072692087,1.044742565,1.058580542,1.039274307,1.042453565,1.023621255,1.014231786,1.021484788,1.068822213,1.062294205,1.038037304,1.019247285,0.999832567,0.996614655,1.02728795,1.070882458,NA,NA,NA,NA,0.880678259,NA,NA,NA,0.892903639,NA,0.913714828,0.928111429,0.883016642,NA,NA,NA,0.910937146,0.887279489,NA,NA,0.926884908,0.930069258,0.891822475,NA,0.948964646,NA,NA,NA,0.889089301,NA,NA,NA,NA,NA,NA,0.997202941,NA,0.892036357,1.046637458,1.046051304,1.047935264,1.048851186,1.047056332,1.050992331,1.055707971,1.045129234,1.041520622,1.032120681,1.059421883
395,1.069423445,1.037286999,1.05575505,1.039806632,1.067275082,1.059119068,1.016701459,1.052422133,1.058307187,1.066566632,1.057059223,1.05938955,1.070290817,1.049130324,1.072603984,1.044485996,1.05833862,1.038965776,1.042134836,1.023137917,1.013600736,1.020840741,1.068778226,1.062233519,1.037641151,1.018782542,0.999093407,0.995779348,1.026863297,1.070763874,NA,NA,NA,NA,0.878782948,NA,NA,NA,0.891169625,NA,0.912016571,0.926838718,0.881018057,NA,NA,NA,0.909267635,0.885026762,NA,NA,0.925141373,0.928311175,0.889690445,NA,0.947502655,NA,NA,NA,0.887375395,NA,NA,NA,NA,NA,NA,0.997006788,NA,0.891083751,1.046592569,1.046007157,1.047885063,1.048802784,1.047004787,1.050942385,1.055656287,1.045081035,1.041469279,1.032005124,1.059378524
396,1.069380565,1.037144136,1.055658341,1.039579129,1.067202435,1.059028984,1.01647929,1.052216557,1.058240792,1.066460229,1.056931867,1.059297907,1.070257845,1.048883218,1.072515211,1.044227055,1.058094641,1.038654276,1.041813075,1.022650027,1.012962969,1.020190486,1.068734231,1.062172752,1.037241975,1.018313343,0.998349559,0.994937874,1.026432885,1.070644459,NA,NA,NA,NA,NA,NA,NA,NA,0.889422346,NA,0.91030252,0.925556176,0.879001272,NA,NA,NA,0.907583935,0.882752222,NA,NA,0.923380796,0.926536871,0.887538226,NA,0.946027038,NA,NA,NA,0.885647419,NA,NA,NA,NA,NA,NA,0.996809219,NA,0.890122564,1.046547901,1.045963187,1.047834885,1.048754462,1.046953348,1.050892538,1.055604577,1.045033019,1.041418073,1.031888519,1.059335142
397,1.069337641,1.036999914,1.055560877,1.039349077,1.067129148,1.058938107,1.016254394,1.052009354,1.058174196,1.066353068,1.056803505,1.05920571,1.070224865,1.048633171,1.07242576,1.043965725,1.057848592,1.038339787,1.041488261,1.022157553,1.012318432,1.019533979,1.068690229,1.062111904,1.036839763,1.017839658,0.997601011,0.994090208,1.025996653,1.070524204,NA,NA,NA,NA,NA,NA,NA,NA,0.887661731,NA,0.90857257,0.924263752,NA,NA,NA,NA,0.905885964,0.880455724,NA,NA,0.921603059,0.924746246,0.885365688,NA,0.944537704,NA,NA,NA,0.883905287,NA,NA,NA,NA,NA,NA,0.996610214,NA,0.889152725,1.046503453,1.045919392,1.04778473,1.048706218,1.046902013,1.050842789,1.055552837,1.044985186,1.041367002,1.031770852,1.059291738
398,1.069294673,1.036854321,1.055462653,1.039116452,1.067055211,1.058846427,1.01602674,1.051800514,1.058107397,1.066245144,1.056674129,1.059112956,1.070191878,1.048380153,1.072335621,1.043701986,1.057600458,1.038022284,1.041160373,1.021660464,1.011667071,1.018871179,1.068646219,1.062050971,1.036434502,1.017361456,0.996847749,0.993236322,1.025554538,1.070403103,NA,NA,NA,NA,NA,NA,NA,NA,0.885887707,NA,0.906826613,0.922961394,NA,NA,NA,NA,0.904173637,0.878137121,NA,NA,0.919808044,0.922939197,0.883172701,NA,0.943034563,NA,NA,NA,0.882148912,NA,NA,NA,NA,NA,NA,0.996409754,NA,0.888174164,1.046459225,1.045875771,1.047734598,1.048658054,1.046850783,1.050793138,1.055501066,1.044937534,1.041316067,1.031652112,1.059248312
399,1.06925166,1.036707346,1.055363661,1.03888123,1.066980616,1.058753936,1.015796295,1.051590027,1.058040392,1.066136448,1.056543733,1.059019639,1.070158882,1.048124135,1.072244787,1.043435821,1.057350222,1.037701748,1.040829388,1.021158727,1.011008834,1.018202042,1.068602202,1.061989951,1.036026179,1.016878706,0.996089761,0.992376191,1.025106478,1.070281146,NA,NA,NA,NA,NA,NA,NA,NA,0.884100204,NA,0.905064544,0.921649052,NA,NA,NA,NA,0.902446871,NA,NA,NA,0.917995634,0.921115622,0.880959135,NA,0.941517524,NA,NA,NA,0.880378209,NA,NA,NA,NA,NA,NA,0.996207819,NA,0.887186809,1.046415214,1.045832322,1.04768449,1.048609969,1.046799656,1.050743583,1.055449259,1.044890063,1.041265266,1.031532284,1.059204866
400,1.069208604,1.036558976,1.055263893,1.038643388,1.066905351,1.058660625,1.015563025,1.051377883,1.057973179,1.066026972,1.056412309,1.058925753,1.070125877,1.047865087,1.072153249,1.043167211,1.057097871,1.037378156,1.040495286,1.020652311,1.010343666,1.017526525,1.068558177,1.061928843,1.035614782,1.016391378,0.995327034,0.991509786,1.024652409,1.070158328,NA,NA,NA,NA,NA,NA,NA,NA,0.882299149,NA,0.903286253,0.920326674,NA,NA,NA,NA,0.900705583,NA,NA,NA,0.916165707,0.91927542,0.878724858,NA,0.939986497,NA,NA,NA,0.878593089,NA,NA,NA,NA,NA,NA,0.99600439,NA,0.886190586,1.046371419,1.045789046,1.047634406,1.048561963,1.046748631,1.050694123,1.055397416,1.044842773,1.0412146,1.031411355,1.059161399
401,1.069165505,1.0364092,1.055163343,1.038402902,1.066829408,1.058566486,1.015326898,1.05116407,1.057905755,1.065916709,1.056279849,1.058831293,1.070092862,1.04760298,1.072060998,1.042896138,1.056843389,1.037051486,1.040158043,1.020141184,1.009671513,1.016844586,1.068514145,1.061867644,1.035200297,1.015899441,0.994559555,0.990637081,1.024192267,1.07003464,NA,NA,NA,NA,NA,NA,NA,NA,0.880484469,NA,0.901491635,0.91899421,NA,NA,NA,NA,0.898949687,NA,NA,NA,0.914318147,0.917418487,NA,NA,0.938441391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995799445,NA,0.885185426,1.046327839,1.045745939,1.047584347,1.048514036,1.046697708,1.050644759,1.055345534,1.044795663,1.041164069,1.031289312,1.059117913
